taxid,n,gc_mean,gc_stdev,length_mean,length_stdev
6334,7,35.7361,2.202967809569627,55503085.71428572,5554115.085960611
447093,2,44.39705,0.28701464248362146,30797400,444204.4799413892
7217,7,41.67415714285714,1.2935420388184053,186258285.57142857,44078674.44665115
5854,3,19.515733333333333,0.2995645895851728,23009633.333333332,2181880.5680727195
54126,9,43.008766666666666,0.14566808161021433,160429888.8888889,9259367.76249389
572307,1,54.8511,,57547400,
435258,1,59.5663,,32122100,
7220,3,41.63333333333333,1.2423096769056121,144969333.33333334,8634539.092119124
7260,4,36.78185,0.9525952393330549,228246750,28841804.53641323
281687,2,39.604299999999995,0.41818295039372433,159116000,10097484.8353439
31234,5,38.06536,0.24603989107459812,134999000,8734311.048960874
135651,2,39.0388,0.9350780074410917,158430000,45169981.182196654
559297,1,37.1,,66608700,
7222,2,36.0,0.9899494936611706,195925500,6424065.107079784
412133,2,32.8052,0.13406744571296847,178943500,3568767.924648505
7230,2,38.1,1.9798989873223312,178498500,21676358.377273615
6305,1,27.4,,53013000,
7244,7,39.391171428571425,1.6436293273467357,158056907.14285713,70338508.3502891
5762,1,35.0,,40964100,
7234,4,44.250875,1.5680092673514403,174335250,20787453.30521915
5791,1,41.9,,205176000,
7238,5,42.15458,3.065330305529895,127154414,70662546.7584277
2986,1,26.4,,44193100,
5888,1,28.2,,72094500,
294746,2,43.8,0.0,10655200,63922.4530192639
1257118,1,57.8,,42019800,
423536,1,47.4,,86605100,
36911,73,44.42634246575342,0.1999759547474875,11312304.93150685,985007.5513361465
7757,4,46.957724999999996,1.848796555194757,986659250,144233648.53222242
6669,7,40.79841428571429,1.1195164394037438,152563571.2857143,29317794.296955075
403677,1,50.6,,228544000,
2762,1,63.4,,99940400,
306901,1,55.4,,34886900,
12968,3,48.3,3.4044089061098415,13483400,4635356.123319976
3039,2,51.0556,0.6443156990171828,1905170000,664213683.8397715
9986,3,44.851866666666666,3.3661773368813077,2772140000,60076182.468595654
246410,1,46.0,,29016000,
36914,6,36.560766666666666,0.32543436614264853,16870616.666666668,1438609.2956972949
170000,3,37.699999999999996,0.6928203230275526,713732903.3333334,617498598.5737036
64495,44,34.70314090909091,3.505049319715254,45224522.72727273,5884516.323363933
431241,2,51.9462,1.2074555395541482,34159099.5,1079611.340622402
336963,1,48.6,,22349700,
9601,8,40.502975,1.5538536727853647,2393828072.5,1477219982.1422627
578462,1,60.5,,57060600,
5932,1,15.95,,48800000,
29170,4,41.75,3.168069864549497,382455750,55719229.68105356
502780,1,44.4,,29952500,
664439,1,50.0,,58300700,
322104,2,41.131,0.04384062043356426,15489900,68872.20048756973
4922,8,41.1966125,0.17114768424208612,9492345,158526.62696576514
178872,1,49.0,,77250900,
418459,1,43.8,,88724400,
27292,20,36.74347,6.199856804551809,20955834.95,5128098.743230749
578458,1,57.5,,38670400,
6253,4,37.79905,0.27127527839201865,281485500,11931787.3905519
4232,9,38.811366666666665,0.2947043815419114,3073518888.888889,61016603.15939516
645134,1,47.6,,24131100,
94289,1,28.4,,66368600,
51022,1,42.7,,332876000,
4236,2,37.363749999999996,0.7972628957878357,1862015000,1030049519.2222556
10228,1,34.5,,105632000,
6526,10,36.14863,0.08179100806323371,826567000,81795459.12280896
3750,31,38.10664193548387,2.19225220184999,694774903.2258065,222729727.50778088
10224,1,38.1,,775840000,
332952,2,48.116150000000005,0.1185818072049865,36923850,101469.82310026957
9614,1,41.1857,,2344470000,
9447,4,41.068825000000004,0.3966117192334759,2232895000,77722422.54759347
9612,4,36.645825,9.364658017025144,2147080000,469397789.0162387
8030,15,40.86222,6.790022761922715,2493272378.133333,700459156.36543
59729,15,41.71707333333333,0.295971896510141,1105656066.5333333,256051254.95072237
34765,3,40.52676666666667,0.48197444261426736,59964766.666666664,13205389.507444805
70448,7,59.18548571428571,0.15733610974144283,16421828.57142857,3492444.423663883
370354,1,24.1,,30633200,
370355,1,30.3,,40878300,
3218,2,33.8307,0.0827314933988292,474901000,3988082.245892128
3760,10,37.56154,0.2202510950912374,224911000,21500382.52372889
4547,1,44.5812,,6804890000,
7176,3,34.9716,2.7222967656006936,453080666.6666667,213157899.270314
6565,1,34.819,,684741000,
9555,3,40.5097,0.7893055745400517,1946088613.3333333,1678099718.0344703
4550,4,46.33825,0.4222015040238514,4460037500,3230310437.1290693
4113,42,35.32610238095238,0.8833631793206911,839892895.2380953,274802506.7392119
29760,20,35.20909,2.857433547581134,490156050,121351443.70987538
130081,12,38.925,1.3039276332401553,14253716.666666666,860785.894436361
6763,2,34.3846,7.190710279242239,993184500,6804488.555358147
436017,7,60.03472857142857,0.7056787624084245,11479884.285714285,1510318.9560691824
88036,1,45.3,,212315000,
3068,1,55.3,,137684000,
556484,1,48.8432,,27450700,
573826,1,33.2489,,14618400,
353151,1,30.9,,8743570,
4097,4,37.683175,2.7901707503006574,4005395000,452755828.7127106
5061,99,44.3399797979798,9.856856606847593,35733340.4040404,1013418.0931955782
7797,1,46.0699,,3713490000,
44056,5,69.55930000000001,1.2289229471370424,60425979.8,9073789.39707883
3983,10,35.47127,3.493959162468846,873999800,405897817.82167786
9483,12,40.7388,0.9182771675064332,2483439847.5,872027386.94856
6500,1,41.9999,,927310000,
483514,1,37.9,,11634500,
402676,1,44.1,,11733200,
684364,1,39.4,,23810900,
13249,1,37.1,,706824000,
7029,2,29.567700000000002,2.07564124549499,537670500,5687259.841083402
7425,2,38.291799999999995,4.032347130394403,296545500,1081166.2684342312
30611,1,41.5,,2519720000,
336722,1,52.1368,,39686300,
321614,2,50.35755,0.020293964620049322,37117250,136825.16215959695
4529,66,43.18645,0.47587728937033913,37383256.54545455,117593523.26441644
4538,1,42.871,,347454000,
43179,4,39.5049,1.5899065087817779,2337342500,282648433.1432484
37347,1,41.4,,2137230000,
61853,6,40.8721,0.2366714515948218,2991770000,88876982.39701886
37862,3,37.15383333333333,5.073720930769974,55897120,44826124.24737611
4522,2,45.30325,1.4096173682953805,1379134500,1269476582.4388018
665079,2,41.7063,0.221748686580102,38682900,316359.5739028614
334819,1,48.6857,,41844900,
81972,1,37.5991,,206823000,
332648,1,42.0028,,42630100,
4155,1,36.3144,,322167000,
81985,1,35.9,,133064000,
344612,1,49.2,,27859400,
331117,1,49.4,,31377500,
564608,2,66.80000000000001,1.5556349186104066,20164150,2537311.2629316887
3981,6,34.84386666666667,1.1885968124922202,1471968333.3333333,225941440.5917309
3649,4,36.95375,1.4022959756532625,269801862.5,174739529.48949176
121224,1,27.9,,110781000,
6945,5,43.964240000000004,4.676506590180324,2334566000,499822442.15321106
510516,2,48.2776,0.03167838379715384,37488150,599414.4184118364
8090,33,40.816975757575754,0.32933115935018803,749531969.6969697,35805227.85457178
3641,9,34.27092222222222,0.3919691243509412,376577222.2222222,25992662.13654239
59463,1,42.7,,2034580000,
3988,2,32.77375,0.38501964235607467,333121000,24750151.555091538
392613,2,47.2,0.282842712474618,20917600,854892.0984545359
486041,1,47.1,,64877399,
763407,1,35.9,,53939200,
38727,1,46.8007,,1130000000,
147425,3,34.321266666666666,0.44858729733835817,672606333.3333334,58640137.56236707
3916,2,33.19915,1.6958541933196962,459272500,6173749.306539746
6204,3,34.3,7.6544104933038435,120209000,8372191.290217872
7038,15,39.399786666666664,0.6479598376736757,625774066.6666666,29982889.540695105
7868,2,42.6999,0.14127993488106952,983017500,12046978.23107521
554065,1,65.5,,46159500,
15368,5,45.83148,0.5513140547818479,239491400,30672870.29770771
3077,6,54.70981666666667,11.637905864272433,40962400,4070825.423424591
425265,1,52.1,,8955000,
76775,7,55.752271428571426,0.13040749868886115,7240257.142857143,66821.97011818935
45151,64,50.820524999999996,0.11692415531120195,35496817.1875,2305395.9212051677
660027,2,47.705,0.0070710678118640685,50011700,490873.5274997013
28377,3,40.328199999999995,0.19791258171223033,1816336666.6666667,29794161.061075933
431895,1,54.3258,,41709900,
420245,3,57.918733333333336,0.16559955716526836,32652333,756911.3277438778
436907,1,33.0,,14674600,
441959,1,46.1,,35685400,
37727,6,45.9135,2.0645439806407606,27983033.333333332,476516.8524477038
33616,1,42.1666,,1240250000,
7656,2,33.8,0.848528137423854,466479120,651948039.9076822
670580,1,53.5,,42452900,
413071,1,49.2,,39022700,
63577,8,49.3629,0.5443894299383218,36494412.5,582123.4833103957
8078,2,40.98805,0.29974256454497983,1112705000,128417662.53128889
132908,1,40.5,,2198280000,
7426,2,42.55,2.4748737341529163,271324000,17370785.186628725
7427,1,44.1,,285726000,
27828,1,45.0,,503682000,
595528,1,53.7,,27967800,
7200,2,35.690799999999996,0.2958534772484503,151033500,4519119.438563225
232323,2,46.099999999999994,1.1313708498984771,217345500,49766882.366690405
9739,7,41.02205714285714,0.6420116480177562,2721150000,932113401.738222
51031,2,40.697649999999996,0.8518515392954306,239266000,6800953.021452214
9978,5,44.42752,1.1193904644939578,2599466000,498597951.8409597
10020,1,42.6,,2236370000,
9541,12,40.82805,0.580556757071879,2790464166.6666665,219106348.95818943
30608,3,41.54743333333334,0.18455287408581184,2393150000,82143875.608593
9557,2,40.25,0.9192388155425097,1534663300,2149147399.5623894
29172,3,35.116166666666665,0.10384644112021135,165631666.66666666,13730999.247444933
61180,1,42.8,,443017000,
6850,1,34.5,,1828270000,
37621,1,45.6996,,511738000,
126957,1,35.8,,176211000,
89462,7,40.61725714285714,3.680405035616391,2894785714.285714,406326159.62455344
482537,2,40.1,1.5556349186104066,3268555000,114402806.12817152
554155,1,47.5,,23263100,
559882,1,47.3,,24158200,
647933,1,48.1,,22988600,
559305,1,48.3,,22530000,
535722,1,48.4,,23272900,
1069443,1,48.8706,,41912900,
481877,1,33.7,,3860740,
113334,3,33.9294,0.2039789940165417,446257000,54815449.218263276
158379,1,49.7,,6149410,
464988,1,25.5344,,632425,
753081,1,44.9,,91405900,
498257,2,54.7956,1.1375933895729193,34937100,1466256.621468425
1689686,1,43.6634,,141403000,
441375,1,28.5,,9245250,
51029,5,37.13412,0.5063593901568318,129956200,29522319.712380327
554373,1,47.7,,26663300,
936046,1,46.5,,30233700,
79200,1,34.9665,,441120000,
15945,1,42.5,,5596590000,
29001,4,51.724999999999994,1.717313793884701,32581850,2484117.0510532176
121845,5,38.087579999999996,0.23632085604110464,368354800,125401979.10798697
27335,2,56.45,0.07071067811865575,36821700,499500.23023017717
660469,1,50.8,,43870400,
663331,2,48.7,0.0,22224200,0.0
7368,1,17.2,,1143540000,
30538,2,41.45,0.49497474683058024,1063392855,1492670093.2338338
9358,1,40.0,,3286010000,
5322,7,50.877385714285715,0.2984418057654988,42990957.14285714,16405683.70929794
655819,1,51.5,,33697800,
118266,14,52.56428571428572,0.2560262692565935,31405571.285714287,849197.8018495254
180498,4,34.1503,1.1787622152071218,287229750,25558293.466439944
578459,1,67.5,,21014000,
578457,1,45.3,,42797200,
40302,2,26.6,1.6970562748477156,7253590,2210189.523819168
109461,2,40.49955,0.565049028846167,350370000,26082340.730846994
602072,1,51.6,,36149100,
6277,1,29.9,,77350900,
3659,14,34.524035714285716,3.1913025762596936,252987571.42857143,34675836.8003167
645133,1,49.0853,,51644300,
9595,10,40.70515,0.39065873783193994,2666649640,1409609990.1531346
3369,1,36.4331,,9046660000,
71139,3,39.37736666666667,0.07330936729595633,624774000,62777301.24814223
277990,1,35.0,,4347980,
5530,5,50.699999999999996,0.23452078799117101,41129700,2874803.2602249496
656061,1,44.9,,124946000,
650164,1,52.9,,46293300,
644358,1,55.9,,39641800,
1176355,4,26.258775,0.38100481514892515,19614200,5072207.209884075
5147,2,52.01535,0.02170817818242917,39154050,411041.1719037401
655981,1,49.2,,35818200,
653667,1,37.7,,11554800,
663202,1,48.2,,22541000,
1621096,1,59.2,,19582400,
35608,3,33.5,0.9539392014169469,1680686666.6666667,194757753.4614048
655863,2,53.3,0.0,29657850,192545.1765170969
5142,9,48.56666666666667,0.19364916731037038,39735900,868762.1682601055
1227346,1,48.5,,45210300,
983964,1,47.6,,40980600,
92637,2,44.528800000000004,1.3135215567321292,42031900,3930382.3325473056
4954,22,43.65909090909091,0.4563406109987938,7666871.818181818,1041682.6349738487
4957,1,44.0,,10509400,
4955,3,42.56066666666667,0.05330415868704247,10178066.666666666,79224.00730418359
9813,2,41.3,0.7071067811865476,3653900000,73143125.44593647
4054,1,34.246,,3355150000,
168172,8,44.2784,0.3152014639197329,86657612.5,30455074.611182265
5272,25,55.972,0.32083225108042557,29649171.96,4891802.251876539
877507,2,43.950100000000006,0.35341196923703677,35086800,89236.8757857423
35575,1,41.8,,73425600,
5016,9,49.1,1.994367067517913,39963411.11111111,3741477.635722431
876142,1,41.5182,,2216900,
261658,1,33.8,,31019200,
6293,4,29.1,0.42426406871192784,84310525,6176515.994407095
39758,2,33.4,3.5355339059327378,166340500,27559486.79674569
559515,1,47.4,,78380500,
43151,3,48.15903333333333,0.12261648883136692,165037000,24471032.691735752
37319,1,44.3389,,252345000,
57307,1,42.1,,70858400,
27751,1,41.5,,68238600,
106582,2,41.776849999999996,0.8812671813927927,518326650,621063694.5993905
163638,1,42.3,,71295100,
105023,6,43.04333333333334,2.427743554551564,824894476.5,619225044.782303
321403,2,42.95,2.616295090390223,563947305,790139070.7390225
257977,1,37.0,,798404000,
365059,2,44.2074,0.23023396795433587,831913000,27934960.497555748
52904,6,42.50791666666667,1.0482755256451746,557332166.6666666,22584433.359432925
1234273,3,39.41413333333333,0.18628768969884382,712634000,1019710.2529640467
79923,2,44.0316,0.04468914857099116,552706500,7662916.187718616
45264,2,37.0827,2.803961230117132,430990500,62777647.140522875
30069,8,45.273175,0.3855490546888021,227028000,38015898.35469215
7959,2,37.43365,0.047588286373856786,887010000,8775195.154525055
13489,3,40.33336666666666,0.05770618106696472,490018366.6666667,339447550.88717806
8049,7,45.826142857142855,0.2998368770800918,614014857.1428572,157067782.2400556
29655,1,38.9,,203914000,
42345,4,39.221525,2.3645844812919377,659675250,185926970.26588154
51953,4,37.93855,4.076636834041838,844649750,641089804.3802054
7209,3,31.0835,0.44806585453479997,93001666.66666667,2948458.3180593434
6282,2,31.15,1.9091883092036779,61166850,49743194.28952065
574566,1,52.9,,48826600,
2898,1,27.811,,564783,
62324,5,41.74744,0.6252868405779848,279020000,93298030.15337463
400682,2,34.050399999999996,4.4553384069002,165983500,2433154.43406291
34508,1,45.4505,,84512600,
9646,3,41.75086666666667,0.08810365107833668,2346426666.6666665,81279371.51167776
2880,1,53.4936,,195811000,
139456,2,37.30405,0.33085526291718576,1523560000,81288995.5652055
32264,7,31.683699999999998,1.9420922729537498,91038185.71428572,5726420.538878999
7291,5,38.08924,0.926222914853655,180060400,43570074.8943584
72036,6,30.848533333333332,0.09831855708189939,670572333.3333334,60931125.25357354
28610,1,37.0,,1223290000,
34632,1,46.889,,2365500000,
695850,1,57.5,,53131600,
99487,2,40.7269,0.6037277697770741,3262350000,196434263.8136229
144034,1,37.2,,235646000,
83485,2,37.567,0.4709331162702384,231964000,17625343.627855882
7213,2,35.199749999999995,0.14177490962790146,453879000,24590345.422543377
7463,1,34.8984,,229015000,
13164,2,30.14405,0.06328605691619672,365194500,25288259.8155745
30195,3,38.263,0.3734080341931585,320760000,72154047.89753656
361072,1,30.3,,26251800,
361076,1,27.2,,30529500,
133409,1,31.8,,25723400,
65489,4,42.342075,0.3723276637139198,307432000,26891146.38686867
10029,6,39.619033333333334,4.912066531172665,2509768333.3333335,358941914.76709247
29656,7,41.8632,1.4477159032996298,138012142.7142857,3333169.1342081996
8839,17,41.882135294117646,0.8163709259132578,1172337058.764706,89735003.34543207
6941,5,44.79462,1.7921201750998728,2197034400,1288538295.0408576
747676,1,41.3,,101129000,
36080,15,39.06,0.6790750011175924,33247546.666666668,2906937.2446090467
759272,2,52.55,0.07071067811865575,28382700,84711.39238614839
46078,1,42.0,,1450090,
4536,1,43.5839,,395534000,
12957,1,34.3992,,317672000,
3818,10,36.45952,0.7288924639478719,2314874670,798284083.8930573
3821,3,32.702533333333335,1.5644868977825719,608329666.6666666,34666852.703026466
46514,4,40.725,0.20615528128088192,690283750,85745830.30629925
13686,7,35.90105714285714,1.191816589436957,388503000,21916925.597963475
108931,3,35.0926,0.8746626949859029,1060467666.6666666,95386763.52793051
33165,1,38.5,,9968910,
41882,3,51.266666666666666,3.360555509634283,289670000,148072806.15629596
858893,1,51.4748,,26376800,
610380,2,45.05,0.3535533905932738,314314000,28069310.78598119
104421,2,34.55,0.21213203435596728,258347000,36291548.43761837
315576,4,31.481875000000002,1.5061476452083546,176297750,15679991.844704513
36044,2,39.0,0.282842712474623,55354600,19666619.48378521
51658,1,41.0,,9854000,
3827,4,32.433949999999996,0.7259568651097668,434268000,100788772.21529523
97480,5,46.54632,0.8168311006566786,41345400,1858658.4758906085
40601,2,48.599999999999994,1.1313708498984771,29084750,171614.81579397508
461836,1,63.6,,28680600,
692275,1,51.1,,29352100,
881290,1,34.6,,4071350,
9305,6,37.8266,3.760496424675871,2116666850,1629087092.160158
683960,1,35.0,,14145600,
741275,1,54.9,,34171900,
721885,1,51.3,,46511600,
40483,1,54.8,,45982900,
81056,5,49.92,2.805708466680028,53550760,9413634.128379963
212056,1,30.4,,1025099999,
764103,2,55.45,0.07071067811865575,13514100,170271.31290972064
619300,2,37.45,0.07071067811865575,13194850,18031.22292025696
665912,1,49.8,,34409200,
29730,6,33.53635,0.37496951742774975,735332333.3333334,60865644.150593415
741705,1,52.3,,42968500,
717944,1,57.3,,44794000,
694068,1,41.7,,63354400,
7897,4,42.490925000000004,0.37782194549814,2474617500,752132117.7104902
77065,4,35.2885,0.9553733615712756,376688000,54806686.86088101
5786,2,23.65,1.2020815280171302,32643649.5,457569.5052125961
110365,1,53.5,,14009100,
9669,16,41.21875,0.888608462710096,2457425625,40134773.94458991
5535,3,59.147866666666665,14.72689083456971,21688333.333333332,1611845.1610912674
101020,1,38.9793,,214373000,
38881,3,51.166666666666664,1.3868429375143165,168274666.33333334,30891805.466013156
48752,1,41.7,,2671070000,
8153,4,41.075025,0.8421450800386678,746732250,113433271.49878323
32507,3,40.933366666666664,0.9238181657303229,741391333.3333334,92859460.26837187
303518,1,41.9,,830133000,
914234,1,53.6,,38969700,
132113,1,37.9,,246856000,
9915,35,41.81184285714286,0.4847635155933462,2677128000,98831277.66998842
765440,1,46.6,,59326900,
159749,2,53.382400000000004,0.16631151493507523,87849250,6132524.981196571
948595,1,39.9,,6118690,
34638,1,51.5955,,151485000,
42026,5,41.39256,0.48120345800918873,169511200,29689253.269491304
30023,3,39.9425,0.3160992723813173,214793333.33333334,69265643.01537475
30025,2,41.55,0.6363961030678917,160136000,10885201.789585713
30033,4,41.06955,0.22444481875656308,178037750,12522947.346771047
29030,4,39.964574999999996,0.18565125684106581,167425000,31571817.52766223
7654,3,35.60476666666667,1.7607038829210693,968222666.6666666,95925757.13192642
34506,1,21.5777,,43150200,
125945,6,41.647,0.46136102999711576,181636000,27298081.742129795
5661,10,59.26464,0.6186975157538626,32740799.6,825416.0092275625
103372,2,34.15,0.21213203435596226,304946000,12729336.274920229
985148,1,53.6,,28786300,
7632,1,37.2,,2187260000,
9880,1,41.6,,2380510000,
98039,1,35.7366,,137073000,
194682,1,50.5,,28652600,
670483,1,52.9,,37178200,
766949,1,22.6,,11464000,
510951,1,49.4,,39146300,
28502,1,34.5087,,417460000,
143995,2,36.849999999999994,0.07071067811865575,305331500,46203064.189510204
79591,1,44.5445,,43087600,
708437,1,42.8,,76567800,
1036760,1,40.1,,58836400,
1036761,1,36.9,,52585600,
79589,1,40.1117,,44747100,
